book_id,title,author,series,volume,asin,amazon,canonical
ref-asins-B0FLTFWLFZ,The Dreaming Machine: Why Robots Sometimes Make Things Up (The Bogle Doctrine Book 7),Nikiki Bogle Esq,The Bogle Doctrine,7,B0FLTFWLFZ,https://www.amazon.com/Dreaming-Machine-Robots-Sometimes-Doctrine-ebook/dp/B0FLTFWLFZ?ref_=ast_author_dp&th=1&psc=1&dib=eyJ2IjoiMSJ9.AICaAENTygcGBS57aMxWuzoH_VgEdPeUUGP2YHvkt_qPZhfaTCJi1QwcRc0egeNbcB8xBTYCZf_npAsn0wzJCVvmEHPpxYYvnmtrFp2NVeMje8JgPP8eqrvBuaYFMUK4rj5TDrkAywtABzeKuTSU6toNkrwTCKliNsS8LUyLrswvIWOQdH6aj95X-5lrO3dmf-xjWhIhE2V6fyCo9ngHXG2JVmbxGWzb588xkvnlpOg.N74D6i_HeMUWpzRuwoXq0X3N0drdSRtXfuhHgIRiwAQ&dib_tag=AUTHOR,https://www.amazon.com/dp/B0FLTFWLFZ
ref-asins-B0FT3RNB1L,$SUE (The Bogle Doctrine Book 6),$SUE Gemach DAO,The Bogle Doctrine,6,B0FT3RNB1L,https://www.amazon.com/SUE-Bogle-Doctrine-Book-ebook/dp/B0FT3RNB1L?ref_=ast_author_dp&th=1&psc=1&dib=eyJ2IjoiMSJ9.AICaAENTygcGBS57aMxWuzoH_VgEdPeUUGP2YHvkt_qPZhfaTCJi1QwcRc0egeNbcB8xBTYCZf_npAsn0wzJCVvmEHPpxYYvnmtrFp2NVeMje8JgPP8eqrvBuaYFMUK4rj5TDrkAywtABzeKuTSU6toNkrwTCKliNsS8LUyLrswvIWOQdH6aj95X-5lrO3dmf-xjWhIhE2V6fyCo9ngHXG2JVmbxGWzb588xkvnlpOg.N74D6i_HeMUWpzRuwoXq0X3N0drdSRtXfuhHgIRiwAQ&dib_tag=AUTHOR,https://www.amazon.com/dp/B0FT3RNB1L
ref-asins-B0F7G9DJ56,The Annunaki In The Bible (The SydTek University Stacks Book 42),Justin Goldston PhD,The SydTek University Stacks,42,B0F7G9DJ56,https://www.amazon.com/Annunaki-Bible-SydTek-University-Stacks-ebook/dp/B0F7G9DJ56?ref_=ast_author_dp&th=1&psc=1&dib=eyJ2IjoiMSJ9.AICaAENTygcGBS57aMxWuzoH_VgEdPeUUGP2YHvkt_qPZhfaTCJi1QwcRc0egeNbcB8xBTYCZf_npAsn0wzJCVvmEHPpxYYvnmtrFp2NVeMje8JgPP8eqrvBuaYFMUK4rj5TDrkAywtABzeKuTSU6toNkrwTCKliNsS8LUyLrswvIWOQdH6aj95X-5lrO3dmf-xjWhIhE2V6fyCo9ngHXG2JVmbxGWzb588xkvnlpOg.N74D6i_HeMUWpzRuwoXq0X3N0drdSRtXfuhHgIRiwAQ&dib_tag=AUTHOR,https://www.amazon.com/dp/B0F7G9DJ56
ref-asins-B0FT3QQVSJ,The Sovereign Counsel: Lawful Innovation in a Web3 World (The Bogle Doctrine Book 5),Justin Goldston PhD,The Bogle Doctrine,5,B0FT3QQVSJ,https://www.amazon.com/Sovereign-Counsel-Lawful-Innovation-Doctrine-ebook/dp/B0FT3QQVSJ?ref_=ast_author_dp&th=1&psc=1&dib=eyJ2IjoiMSJ9.AICaAENTygcGBS57aMxWuzoH_VgEdPeUUGP2YHvkt_qPZhfaTCJi1QwcRc0egeNbcB8xBTYCZf_npAsn0wzJCVvmEHPpxYYvnmtrFp2NVeMje8JgPP8eqrvBuaYFMUK4rj5TDrkAywtABzeKuTSU6toNkrwTCKliNsS8LUyLrswvIWOQdH6aj95X-5lrO3dmf-xjWhIhE2V6fyCo9ngHXG2JVmbxGWzb588xkvnlpOg.N74D6i_HeMUWpzRuwoXq0X3N0drdSRtXfuhHgIRiwAQ&dib_tag=AUTHOR,https://www.amazon.com/dp/B0FT3QQVSJ
ref-asins-B0FVL14HX9,The Devil’s Doctrine of Distraction (The AIutobiographical Series by Dr. Justin Goldston Book 4),"Justin Goldston, PhD",The AIutobiographical Series by Dr. Justin Goldston,4,B0FVL14HX9,https://www.amazon.com/Devils-Doctrine-Distraction-AIutobiographical-Goldston-ebook/dp/B0FVL14HX9?ref_=ast_author_dp&th=1&psc=1&dib=eyJ2IjoiMSJ9.AICaAENTygcGBS57aMxWuzoH_VgEdPeUUGP2YHvkt_qPZhfaTCJi1QwcRc0egeNbcB8xBTYCZf_npAsn0wzJCVvmEHPpxYYvnmtrFp2NVeMje8JgPP8eqrvBuaYFMUK4rj5TDrkAywtABzeKuTSU6toNkrwTCKliNsS8LUyLrswvIWOQdH6aj95X-5lrO3dmf-xjWhIhE2V6fyCo9ngHXG2JVmbxGWzb588xkvnlpOg.N74D6i_HeMUWpzRuwoXq0X3N0drdSRtXfuhHgIRiwAQ&dib_tag=AUTHOR,https://www.amazon.com/dp/B0FVL14HX9
ref-asins-B0FTN8K5PQ,$JAILSTOOL,$JAILSTOOL Gemach DAO,,,"B0FTN8K5PQ",https://www.amazon.com/JAILSTOOL-Gemach-DAO-ebook/dp/B0FTN8K5PQ?ref_=ast_author_dp&th=1&psc=1&dib=eyJ2IjoiMSJ9.AICaAENTygcGBS57aMxWuzoH_VgEdPeUUGP2YHvkt_qPZhfaTCJi1QwcRc0egeNbcB8xBTYCZf_npAsn0wzJCVvmEHPpxYYvnmtrFp2NVeMje8JgPP8eqrvBuaYFMUK4rj5TDrkAywtABzeKuTSU6toNkrwTCKliNsS8LUyLrswvIWOQdH6aj95X-5lrO3dmf-xjWhIhE2V6fyCo9ngHXG2JVmbxGWzb588xkvnlpOg.N74D6i_HeMUWpzRuwoXq0X3N0drdSRtXfuhHgIRiwAQ&dib_tag=AUTHOR,https://www.amazon.com/dp/B0FTN8K5PQ
ref-asins-B0FT5Z42Y4,The Bogle Doctrine (The Bogle Doctrine Book 1),Justin Goldston PhD,The Bogle Doctrine,1,B0FT5Z42Y4,https://www.amazon.com/Bogle-Doctrine-Book-ebook/dp/B0FT5Z42Y4?ref_=ast_author_dp&th=1&psc=1&dib=eyJ2IjoiMSJ9.AICaAENTygcGBS57aMxWuzoH_VgEdPeUUGP2YHvkt_qPZhfaTCJi1QwcRc0egeNbcB8xBTYCZf_npAsn0wzJCVvmEHPpxYYvnmtrFp2NVeMje8JgPP8eqrvBuaYFMUK4rj5TDrkAywtABzeKuTSU6toNkrwTCKliNsS8LUyLrswvIWOQdH6aj95X-5lrO3dmf-xjWhIhE2V6fyCo9ngHXG2JVmbxGWzb588xkvnlpOg.N74D6i_HeMUWpzRuwoXq0X3N0drdSRtXfuhHgIRiwAQ&dib_tag=AUTHOR,https://www.amazon.com/dp/B0FT5Z42Y4
ref-asins-B0FT3MKZL3,$GATEKEEPERS (The Bogle Doctrine Book 4),$GATEKEEPERS Gemach DAO,The Bogle Doctrine,4,B0FT3MKZL3,https://www.amazon.com/GATEKEEPERS-Bogle-Doctrine-Book-ebook/dp/B0FT3MKZL3?ref_=ast_author_dp&th=1&psc=1&dib=eyJ2IjoiMSJ9.AICaAENTygcGBS57aMxWuzoH_VgEdPeUUGP2YHvkt_qPZhfaTCJi1QwcRc0egeNbcB8xBTYCZf_npAsn0wzJCVvmEHPpxYYvnmtrFp2NVeMje8JgPP8eqrvBuaYFMUK4rj5TDrkAywtABzeKuTSU6toNkrwTCKliNsS8LUyLrswvIWOQdH6aj95X-5lrO3dmf-xjWhIhE2V6fyCo9ngHXG2JVmbxGWzb588xkvnlpOg.N74D6i_HeMUWpzRuwoXq0X3N0drdSRtXfuhHgIRiwAQ&dib_tag=AUTHOR,https://www.amazon.com/dp/B0FT3MKZL3
ref-asins-B0FT3GTW9J,$KINGMAKER (The Bogle Doctrine Book 3),$KINGMAKER Gemach DAO,The Bogle Doctrine,3,B0FT3GTW9J,https://www.amazon.com/KINGMAKER-Bogle-Doctrine-Book-ebook/dp/B0FT3GTW9J?ref_=ast_author_dp&th=1&psc=1&dib=eyJ2IjoiMSJ9.AICaAENTygcGBS57aMxWuzoH_VgEdPeUUGP2YHvkt_qPZhfaTCJi1QwcRc0egeNbcB8xBTYCZf_npAsn0wzJCVvmEHPpxYYvnmtrFp2NVeMje8JgPP8eqrvBuaYFMUK4rj5TDrkAywtABzeKuTSU6toNkrwTCKliNsS8LUyLrswvIWOQdH6aj95X-5lrO3dmf-xjWhIhE2V6fyCo9ngHXG2JVmbxGWzb588xkvnlpOg.N74D6i_HeMUWpzRuwoXq0X3N0drdSRtXfuhHgIRiwAQ&dib_tag=AUTHOR,https://www.amazon.com/dp/B0FT3GTW9J
ref-asins-B0FT3TH6XB,$RIPPLES (The Bogle Doctrine Book 2),$RIPPLES Gemach DAO,The Bogle Doctrine,2,B0FT3TH6XB,https://www.amazon.com/RIPPLES-Bogle-Doctrine-Book-ebook/dp/B0FT3TH6XB?ref_=ast_author_dp&th=1&psc=1&dib=eyJ2IjoiMSJ9.AICaAENTygcGBS57aMxWuzoH_VgEdPeUUGP2YHvkt_qPZhfaTCJi1QwcRc0egeNbcB8xBTYCZf_npAsn0wzJCVvmEHPpxYYvnmtrFp2NVeMje8JgPP8eqrvBuaYFMUK4rj5TDrkAywtABzeKuTSU6toNkrwTCKliNsS8LUyLrswvIWOQdH6aj95X-5lrO3dmf-xjWhIhE2V6fyCo9ngHXG2JVmbxGWzb588xkvnlpOg.N74D6i_HeMUWpzRuwoXq0X3N0drdSRtXfuhHgIRiwAQ&dib_tag=AUTHOR,https://www.amazon.com/dp/B0FT3TH6XB
